symbol	id	name	type
EnchantLearning	b74c2058-4113-4b6c-b11e-1c97304d236c	EnchantLearning	EnchantmentSO
EnchantPower	b9d5f0f7-43fd-4bad-a8e2-8a73f2f1d1d6	EnchantPower	EnchantmentSO
EnchantSpeed	9f068bad-f3a0-47de-84f4-407e67622fe1	EnchantSpeed	EnchantmentSO
Enchantment	2ffcbbc4-49a7-45db-b3ae-4a3c57362255	Enchantment	AlchemyTypeSO
FruitTreeCollect	60ea60a2-44e9-41c2-86d6-3935fae0b647	PNAFruitTreeCollect	PlotNodeActionSO
FruitTreePlot	6782dd13-e229-4385-a1aa-8ed86e6ea1ed	PlotFruitTree	PlotNodeSO
FruitTreeRewardPool	b3ab80f0-80c7-41d4-b4c7-f34c3e909104	FruitTreasurePool	TreasurePoolSO
MagicSpellbook	ca934900-0253-4f71-93e9-733fb91132b7	MagicSpellbook	ViewSO
MasteriesEnabled	07dfae7e-76b9-4b38-bf81-38abc40b9ed7	MasteriesEnabled	ViewSO
MultiBuy	37a84399-98b5-463c-b858-c1ecf2f9bf34	MultiBuy	IntVariable
PotionToxicity	4dd4e062-2015-4809-a50f-f37647bda339	PotionToxicity	ResourceSO
Reductive	47b787b9-d4cd-43c8-a7e3-63a1e4e0ae94	Reductive	AlchemyTypeSO
Refinement	32b6b099-19f2-4470-b47b-6c2a8b0388e1	Refinement	AlchemyTypeSO
Reflective	8f258dcc-c39a-4d64-b915-4239e746c49d	Reflective	AlchemyTypeSO
ScribeCrafting	ee001474-8209-4238-9566-84899a877226	ScribeCrafting	CraftingRecipeTypeSO
ScribeCraftingRecipes	2917516f-34a5-47b7-85b2-0b2f9ab3a29f	ScribeCraftingRecipes	CraftingRecipeListVariable
ScrollAdvancement	5f6aa08d-7da6-4c7a-89c9-aabcfe48e886	ScrollAdvancement	ConsumableSO
ScrollDevelopment	09d6101a-460d-4ce9-b7d4-46c4abaeadb7	ScrollDevelopment	ConsumableSO
ScrollEcho	164dbfa9-8b9f-4976-9d17-ad3ad6b07a62	ScrollEcho	ConsumableSO
ScrollExcellence	49057abe-fe54-481e-99bc-2b82c3995c6b	ScrollExcellence	ConsumableSO
ScrollInvestment	da5eab6d-ab4c-4b32-aca1-2e83b6d3a64b	ScrollInvestment	ConsumableSO
ScrollLearning	ec14ee5d-66a3-4b28-a271-25dca2414387	ScrollLearning	ConsumableSO
ScrollPower	4bb8af50-fc7d-44a7-b1fc-937c390f8aec	ScrollPower	ConsumableSO
ScrollSpeed	b2232a7d-5c97-44c9-9520-686e99fa8293	ScrollSpeed	ConsumableSO
Transmutation	b42c6192-7d9b-40d0-aa40-3d46a9348e52	Transmutation	AlchemyTypeSO
TreasureTreeCollect	3eb68f6f-c2f2-405a-88d2-e5c80345aeb4	PNATreasureTreeCollect	PlotNodeActionSO
TreasureTreePlot	2d41cfc1-bffa-43b5-b3a8-5e4d5ad85434	PlotTreasureTree	PlotNodeSO
TreasureTreeRewardPool	1a370ff9-fea7-4a2a-bca7-57fdb2862356	CoreTreasurePool	TreasurePoolSO
UnlockLevelAllSpells	b5efd19a-9655-4359-ad27-f391bb86c2e4	UnlockLevelAllSpells	UpgradeSO
WorkshopArtifact	668a2a7a-468f-4e0e-b182-979b12a4b0ad	WorkshopArtifact	ViewSO
